Test File Name,No Saturation (same subgroup),"No saturation (diff. subgroup, 256 threads per workgroup)","No saturation (same subgroup, 4 threads per workgroup)",All Passed
0,P,F (5/5),F (5/5),F
1,P,F (5/5),F (5/5),F
2,P,F (5/5),F (5/5),F
3,P,F (5/5),F (5/5),F
4,P,F (5/5),F (5/5),F
5,P,F (5/5),F (5/5),F
6,P,F (5/5),F (5/5),F
7,P,F (5/5),F (5/5),F
8,P,F (5/5),F (5/5),F
9,P,F (5/5),F (5/5),F
10,P,F (5/5),F (5/5),F
11,P,F (5/5),F (5/5),F
12,P,F (5/5),F (5/5),F
13,P,F (5/5),F (5/5),F
14,P,F (5/5),F (5/5),F
15,P,F (5/5),F (5/5),F
16,P,F (5/5),F (5/5),F
17,P,F (5/5),F (5/5),F
18,P,F (5/5),F (5/5),F
19,P,F (5/5),F (5/5),F
20,P,F (5/5),F (5/5),F
21,P,F (5/5),F (5/5),F
22,P,P,P,P
23,P,F (5/5),F (5/5),F
24,P,F (5/5),F (5/5),F
25,P,F (5/5),F (5/5),F
26,P,F (5/5),F (5/5),F
27,P,F (5/5),F (5/5),F
28,P,P,P,P
29,P,F (5/5),F (5/5),F
30,P,P,P,P
31,P,F (5/5),F (5/5),F
32,P,F (5/5),F (5/5),F
33,P,F (5/5),F (5/5),F
34,P,F (5/5),F (5/5),F
35,P,F (5/5),F (5/5),F
36,P,F (5/5),F (5/5),F
37,P,F (5/5),F (5/5),F
38,P,F (5/5),F (5/5),F
39,P,F (5/5),F (5/5),F
40,P,F (5/5),F (5/5),F
41,P,F (5/5),F (5/5),F
42,P,F (5/5),F (5/5),F
43,P,F (5/5),F (5/5),F
44,P,F (5/5),F (5/5),F
45,P,F (5/5),F (5/5),F
46,P,P,P,P
47,P,F (5/5),F (5/5),F
48,P,P,P,P
49,P,F (5/5),F (5/5),F
50,P,P,P,P
51,P,F (5/5),F (5/5),F
52,P,P,P,P
53,P,F (5/5),F (5/5),F
54,P,P,P,P
55,P,P,P,P
56,P,F (5/5),F (5/5),F
57,P,F (5/5),F (5/5),F
58,P,P,P,P
59,P,F (5/5),F (5/5),F
60,P,P,P,P
61,P,F (5/5),F (5/5),F
62,P,F (5/5),F (5/5),F
63,P,P,P,P
64,P,F (5/5),F (5/5),F
65,P,F (5/5),F (5/5),F
66,P,F (5/5),F (5/5),F
67,P,F (5/5),F (5/5),F
68,P,F (5/5),F (5/5),F
69,P,F (5/5),F (5/5),F
70,P,F (5/5),F (5/5),F
71,P,P,P,P
72,P,F (5/5),F (5/5),F
73,P,F (5/5),F (5/5),F
74,P,F (5/5),F (5/5),F
75,P,P,P,P
76,P,P,P,P
77,P,F (5/5),F (5/5),F
78,P,F (5/5),F (5/5),F
79,P,P,P,P
80,P,F (5/5),F (5/5),F
81,P,P,P,P
82,P,F (5/5),F (5/5),F
83,P,P,P,P
84,P,P,P,P
85,P,F (5/5),F (5/5),F
86,P,F (5/5),F (5/5),F
87,P,P,P,P
88,P,P,P,P
89,P,F (5/5),F (5/5),F
90,P,F (5/5),F (5/5),F
91,P,F (5/5),F (5/5),F
92,P,F (5/5),F (5/5),F
93,P,F (5/5),F (5/5),F
94,P,F (5/5),F (5/5),F
95,P,F (5/5),F (5/5),F
96,P,F (5/5),F (5/5),F
97,P,F (5/5),F (5/5),F
98,P,F (5/5),F (5/5),F
99,P,P,P,P
100,P,F (5/5),F (5/5),F
101,P,P,P,P
102,P,P,P,P
103,P,F (5/5),F (5/5),F
104,P,F (5/5),F (5/5),F
105,P,F (5/5),F (5/5),F
106,P,F (5/5),F (5/5),F
107,P,P,P,P
108,P,F (5/5),F (5/5),F
109,P,F (5/5),F (5/5),F
110,P,P,P,P
111,P,F (5/5),F (5/5),F
112,P,F (5/5),F (5/5),F
113,P,P,P,P
114,P,F (5/5),F (5/5),F
115,P,P,P,P
116,P,P,P,P
117,P,P,P,P
118,P,P,P,P
119,P,P,P,P
120,P,P,P,P
121,P,F (5/5),F (5/5),F
122,P,P,P,P
123,P,F (5/5),F (5/5),F
124,P,P,P,P
125,P,F (5/5),F (5/5),F
126,P,P,P,P
127,P,F (5/5),F (5/5),F
128,P,P,P,P
129,P,F (5/5),F (5/5),F
130,P,F (5/5),F (5/5),F
131,P,P,P,P
132,P,F (5/5),F (5/5),F
133,P,P,P,P
134,P,P,P,P
135,P,F (5/5),F (5/5),F
136,P,F (5/5),F (5/5),F
137,P,P,P,P
138,P,F (5/5),F (5/5),F
139,P,P,P,P
140,P,P,P,P
141,P,F (5/5),F (5/5),F
142,P,P,P,P
143,P,F (5/5),F (5/5),F
144,P,F (5/5),F (5/5),F
145,P,P,P,P
146,P,F (5/5),F (5/5),F
147,P,F (5/5),F (5/5),F
148,P,F (5/5),F (5/5),F
149,P,F (5/5),F (5/5),F
150,P,F (5/5),F (5/5),F
151,P,F (5/5),F (5/5),F
152,P,F (5/5),F (5/5),F
153,P,F (5/5),F (5/5),F
154,P,F (5/5),F (5/5),F
155,P,P,P,P
156,P,P,P,P
157,P,F (5/5),F (5/5),F
158,P,F (5/5),F (5/5),F
159,P,P,P,P
160,P,F (5/5),F (5/5),F
161,P,P,P,P
162,P,F (5/5),F (5/5),F
163,P,F (5/5),F (5/5),F
164,P,F (5/5),F (5/5),F
165,P,F (5/5),F (5/5),F
166,P,F (5/5),F (5/5),F
167,P,F (5/5),F (5/5),F
168,P,P,P,P
169,P,P,P,P
170,P,P,P,P
171,P,P,P,P
172,P,P,P,P
Total failures:,0,119,119,119
