Test File Name,No Saturation (same subgroup),"No saturation (diff. subgroup, 256 threads per workgroup)","No saturation (same subgroup, 4 threads per workgroup)",All Passed
0,P,F,F,F
1,P,F,F,F
2,P,F,F,F
3,P,F,F,F
4,P,F,F,F
5,P,F,F,F
6,P,F,F,F
7,P,F,F,F
8,P,F,F,F
9,P,F,F,F
10,P,F,F,F
11,P,F,F,F
12,P,F,F,F
13,P,F,F,F
14,P,F,F,F
15,P,F,F,F
16,P,F,F,F
17,P,F,F,F
18,P,F,F,F
19,P,F,F,F
20,P,F,F,F
21,P,F,F,F
22,P,P,P,P
23,P,F,F,F
24,P,F,F,F
25,P,F,F,F
26,P,F,F,F
27,P,F,F,F
28,P,P,P,P
29,P,F,F,F
30,P,P,P,P
31,P,F,F,F
32,P,F,F,F
33,P,F,F,F
34,P,F,F,F
35,P,F,F,F
36,P,F,F,F
37,P,F,F,F
38,P,F,F,F
39,P,F,F,F
40,P,F,F,F
41,P,F,F,F
42,P,F,F,F
43,P,F,F,F
44,P,F,F,F
45,P,F,F,F
46,P,P,P,P
47,P,F,F,F
48,P,P,P,P
49,P,F,F,F
50,P,P,P,P
51,P,F,F,F
52,P,P,P,P
53,P,F,F,F
54,P,P,P,P
55,P,P,P,P
56,P,F,F,F
57,P,F,F,F
58,P,P,P,P
59,P,F,F,F
60,P,P,P,P
61,P,F,F,F
62,P,F,F,F
63,P,P,P,P
64,P,F,F,F
65,P,F,F,F
66,P,F,F,F
67,P,F,F,F
68,P,F,F,F
69,P,F,F,F
70,P,F,F,F
71,P,P,P,P
72,P,F,F,F
73,P,F,F,F
74,P,F,F,F
75,P,P,P,P
76,P,P,P,P
77,P,F,F,F
78,P,F,F,F
79,P,P,P,P
80,P,F,F,F
81,P,P,P,P
82,P,F,F,F
83,P,P,P,P
84,P,P,P,P
85,P,F,F,F
86,P,F,F,F
87,P,P,P,P
88,P,P,P,P
89,P,F,F,F
90,P,F,F,F
91,P,F,F,F
92,P,F,F,F
93,P,F,F,F
94,P,F,F,F
95,P,F,F,F
96,P,F,F,F
97,P,F,F,F
98,P,F,F,F
99,P,P,P,P
100,P,F,F,F
101,P,P,P,P
102,P,P,P,P
103,P,F,F,F
104,P,F,F,F
105,P,F,F,F
106,P,F,F,F
107,P,P,P,P
108,P,F,F,F
109,P,F,F,F
110,P,P,P,P
111,P,F,F,F
112,P,F,F,F
113,P,P,P,P
114,P,F,F,F
115,P,P,P,P
116,P,P,P,P
117,P,P,P,P
118,P,P,P,P
119,P,P,P,P
120,P,P,P,P
121,P,F,F,F
122,P,P,P,P
123,P,F,F,F
124,P,P,P,P
125,P,F,F,F
126,P,P,P,P
127,P,F,F,F
128,P,P,P,P
129,P,F,F,F
130,P,F,F,F
131,P,P,P,P
132,P,F,F,F
133,P,P,P,P
134,P,P,P,P
135,P,F,F,F
136,P,F,F,F
137,P,P,P,P
138,P,F,F,F
139,P,P,P,P
140,P,P,P,P
141,P,F,F,F
142,P,P,P,P
143,P,F,F,F
144,P,F,F,F
145,P,P,P,P
146,P,F,F,F
147,P,F,F,F
148,P,F,F,F
149,P,F,F,F
150,P,F,F,F
151,P,F,F,F
152,P,F,F,F
153,P,F,F,F
154,P,F,F,F
155,P,P,P,P
156,P,P,P,P
157,P,F,F,F
158,P,F,F,F
159,P,P,P,P
160,P,F,F,F
161,P,P,P,P
162,P,F,F,F
163,P,F,F,F
164,P,F,F,F
165,P,F,F,F
166,P,F,F,F
167,P,F,F,F
168,P,P,P,P
169,P,P,P,P
170,P,P,P,P
171,P,P,P,P
172,P,P,P,P
Total failures:,0,119,119,119
