Test File Name,No saturation (same subgroup),"No saturation (diff. subgroup, 256 threads per workgroup)","No saturation (same subgroup, 4 threads per workgroup)",All Passed
0,P,F (5/5),F (5/5),F
1,P,F (5/5),F (5/5),F
2,P,F (5/5),F (5/5),F
3,P,P,P,P
4,P,P,P,P
5,P,F (5/5),F (5/5),F
6,P,F (5/5),F (5/5),F
7,P,P,P,P
8,P,F (5/5),F (5/5),F
9,P,F (5/5),F (5/5),F
10,P,F (5/5),F (5/5),F
11,P,P,P,P
12,P,F (5/5),F (5/5),F
13,P,P,P,P
14,P,F (5/5),F (5/5),F
15,P,P,P,P
16,P,P,P,P
17,P,F (5/5),F (5/5),F
18,P,P,P,P
19,P,F (5/5),F (5/5),F
20,P,P,P,P
Total failures:,0,12,12,12
