Test File Name,No saturation (same subgroup),"No saturation (diff. subgroup, 256 threads per workgroup)","No saturation (same subgroup, 4 threads per workgroup)",All Passed
0,P,P,F,F
1,P,P,F,F
2,P,P,F,F
3,P,P,F,F
4,P,P,P,P
5,P,P,F,F
6,P,P,F,F
7,P,P,F,F
8,P,P,F,F
9,P,P,F,F
10,P,P,P,P
11,P,P,F,F
12,P,P,F,F
13,P,P,P,P
14,P,P,P,P
15,P,P,F,F
16,P,P,F,F
17,P,P,F,F
18,F,F,F,F
19,P,P,F,F
20,P,F,F,F
21,P,P,F,F
22,P,P,F,F
23,P,P,F,F
24,P,P,F,F
25,P,P,F,F
26,P,P,F,F
27,P,P,F,F
28,P,P,F,F
29,P,F,F,F
30,P,P,P,P
31,P,P,P,P
32,P,F,F,F
33,P,P,F,F
34,P,P,P,P
35,P,P,F,F
36,P,P,P,P
37,P,P,F,F
38,P,P,P,P
39,P,P,F,F
40,P,P,F,F
41,P,P,F,F
42,P,P,F,F
43,P,P,F,F
44,P,P,F,F
45,P,P,F,F
46,P,P,P,P
47,P,P,F,F
48,P,P,P,P
49,P,P,F,F
50,P,P,F,F
51,P,P,F,F
52,P,P,P,P
53,P,P,P,P
54,P,P,F,F
55,P,P,P,P
56,P,P,P,P
57,P,P,F,F
58,P,P,F,F
59,P,P,F,F
60,P,P,F,F
61,P,P,P,P
62,P,P,F,F
63,P,P,F,F
64,P,P,P,P
65,P,P,F,F
66,P,P,P,P
67,P,P,F,F
68,P,P,F,F
69,P,P,F,F
70,P,P,F,F
71,P,P,F,F
72,P,P,P,P
73,P,P,F,F
74,P,P,F,F
75,P,P,F,F
76,P,P,F,F
77,P,P,F,F
78,P,P,P,P
79,P,P,F,F
80,P,P,P,P
81,P,P,F,F
82,P,P,P,P
83,P,P,P,P
84,P,P,P,P
85,P,P,F,F
86,P,P,P,P
87,P,P,F,F
88,P,P,F,F
89,P,P,F,F
90,P,P,F,F
91,P,P,P,P
92,P,P,P,P
93,P,P,P,P
94,P,P,P,P
95,P,P,P,P
96,P,P,F,F
97,P,P,F,F
98,P,P,F,F
99,P,P,P,P
100,P,P,P,P
101,P,P,F,F
102,P,P,F,F
103,P,P,F,F
104,P,P,F,F
Total failures:,1,4,73,73
