Test File Name,No saturation (same subgroup),"No saturation (diff. subgroup, 256 threads per workgroup)","No saturation (same subgroup, 4 threads per workgroup)",All Passed
0,P,F (5/5),F (5/5),F
1,P,F (5/5),F (5/5),F
2,P,F (5/5),F (5/5),F
3,P,F (5/5),F (5/5),F
4,P,P,P,P
5,P,F (5/5),F (5/5),F
6,P,F (5/5),F (5/5),F
7,P,F (5/5),F (5/5),F
8,P,F (5/5),F (5/5),F
9,P,F (5/5),F (5/5),F
10,P,P,P,P
11,P,F (5/5),F (5/5),F
12,P,F (5/5),F (5/5),F
13,P,P,P,P
14,P,P,P,P
15,P,F (5/5),F (5/5),F
16,P,F (5/5),F (5/5),F
17,P,F (5/5),F (5/5),F
18,F (1/5),F (5/5),F (5/5),F
19,P,F (5/5),F (5/5),F
20,F (1/5),F (5/5),F (5/5),F
21,P,F (5/5),F (5/5),F
22,P,F (5/5),F (5/5),F
23,P,F (5/5),F (5/5),F
24,P,F (5/5),F (5/5),F
25,P,F (5/5),F (5/5),F
26,P,F (5/5),F (5/5),F
27,P,F (5/5),F (5/5),F
28,P,F (5/5),F (5/5),F
29,F (3/5),F (5/5),F (5/5),F
30,P,P,P,P
31,P,P,P,P
32,P,F (5/5),F (5/5),F
33,P,F (5/5),F (5/5),F
34,P,P,P,P
35,F (2/5),F (5/5),F (5/5),F
36,F (1/5),P,P,F
37,P,F (5/5),F (5/5),F
38,P,P,P,P
39,P,F (5/5),F (5/5),F
40,P,F (5/5),F (5/5),F
41,P,F (5/5),F (5/5),F
42,P,F (5/5),F (5/5),F
43,P,F (5/5),F (5/5),F
44,P,F (5/5),F (5/5),F
45,P,F (5/5),F (5/5),F
46,P,P,P,P
47,P,F (5/5),F (5/5),F
48,P,P,P,P
49,P,F (5/5),F (5/5),F
50,P,F (5/5),F (5/5),F
51,P,F (5/5),F (5/5),F
52,P,P,P,P
53,P,F (5/5),F (5/5),F
54,P,F (5/5),F (5/5),F
55,P,P,P,P
56,P,P,P,P
57,P,F (5/5),F (5/5),F
58,P,F (5/5),F (5/5),F
59,P,F (5/5),F (5/5),F
60,P,F (5/5),F (5/5),F
61,P,P,P,P
62,P,F (5/5),F (5/5),F
63,P,F (5/5),F (5/5),F
64,P,P,P,P
65,P,F (5/5),F (5/5),F
66,P,P,P,P
67,P,F (5/5),F (5/5),F
68,P,F (5/5),F (5/5),F
69,P,F (5/5),F (5/5),F
70,P,F (5/5),F (5/5),F
71,P,F (5/5),F (5/5),F
72,P,P,P,P
73,P,F (5/5),F (5/5),F
74,P,F (5/5),F (5/5),F
75,P,F (5/5),F (5/5),F
76,P,F (5/5),F (5/5),F
77,P,F (5/5),F (5/5),F
78,P,P,P,P
79,P,F (5/5),F (5/5),F
80,P,P,P,P
81,P,F (5/5),F (5/5),F
82,P,P,P,P
83,P,P,P,P
84,P,P,P,P
85,P,F (5/5),F (5/5),F
86,P,P,P,P
87,P,F (5/5),F (5/5),F
88,P,F (5/5),F (5/5),F
89,P,F (5/5),F (5/5),F
90,P,F (5/5),F (5/5),F
91,P,P,P,P
92,P,P,P,P
93,P,P,P,P
94,P,P,P,P
95,P,P,P,P
96,P,F (5/5),F (5/5),F
97,P,F (5/5),F (5/5),F
98,P,F (5/5),F (5/5),F
99,P,P,P,P
100,P,P,P,P
101,P,F (5/5),F (5/5),F
102,P,F (5/5),F (5/5),F
103,P,F (5/5),F (5/5),F
104,P,F (5/5),F (5/5),F
Total failures:,5,74,74,75
