Test File Name,No saturation (same subgroup),Round Robin Saturation,Chunking Saturation,All Passed
0,P,F (5/5),F (5/5),F
1,P,F (5/5),F (5/5),F
2,P,F (5/5),F (5/5),F
3,P,F (5/5),F (5/5),F
4,P,F (5/5),F (5/5),F
5,P,F (5/5),F (5/5),F
6,P,F (5/5),F (5/5),F
7,P,F (5/5),F (5/5),F
8,P,F (5/5),F (5/5),F
9,P,F (5/5),F (5/5),F
10,P,F (5/5),F (5/5),F
11,P,F (5/5),F (5/5),F
12,P,F (5/5),F (5/5),F
13,P,F (5/5),F (5/5),F
14,P,F (5/5),F (5/5),F
15,P,F (5/5),F (5/5),F
16,P,F (5/5),F (5/5),F
17,P,F (5/5),F (5/5),F
18,F (2/5),F (3/5),F (5/5),F
19,P,F (5/5),F (5/5),F
20,F (2/5),F (1/5),F (5/5),F
21,P,F (5/5),F (5/5),F
22,P,F (5/5),F (5/5),F
23,P,F (5/5),F (5/5),F
24,P,F (5/5),F (5/5),F
25,P,F (5/5),F (5/5),F
26,P,F (5/5),F (5/5),F
27,P,F (5/5),F (5/5),F
28,P,F (5/5),F (5/5),F
29,F (2/5),F (5/5),F (5/5),F
30,P,F (5/5),F (5/5),F
31,P,F (5/5),F (5/5),F
32,P,F (5/5),F (5/5),F
33,P,F (5/5),F (5/5),F
34,P,F (5/5),F (5/5),F
35,F (1/5),F (5/5),F (5/5),F
36,F (1/5),F (5/5),F (5/5),F
37,P,F (5/5),F (5/5),F
38,P,F (5/5),F (5/5),F
39,P,F (5/5),F (5/5),F
40,P,P,P,P
41,P,F (5/5),F (5/5),F
42,P,F (5/5),F (5/5),F
43,P,P,P,P
44,P,F (5/5),F (5/5),F
45,P,F (5/5),F (5/5),F
46,P,P,F (5/5),F
47,P,F (5/5),F (5/5),F
48,P,P,F (5/5),F
49,P,F (5/5),F (5/5),F
50,P,F (5/5),F (5/5),F
51,P,F (5/5),F (5/5),F
52,P,P,F (5/5),F
53,P,F (5/5),F (5/5),F
54,P,F (5/5),F (5/5),F
55,P,P,F (5/5),F
56,P,P,F (5/5),F
57,P,F (5/5),F (5/5),F
58,P,F (5/5),F (5/5),F
59,P,F (5/5),F (5/5),F
60,P,F (5/5),F (5/5),F
61,P,P,F (5/5),F
62,P,F (5/5),F (5/5),F
63,P,F (5/5),F (5/5),F
64,P,P,F (5/5),F
65,P,F (5/5),F (5/5),F
66,P,P,F (5/5),F
67,P,F (5/5),F (5/5),F
68,P,F (5/5),F (5/5),F
69,P,F (5/5),F (5/5),F
70,P,F (5/5),F (5/5),F
71,P,F (5/5),F (5/5),F
72,P,F (5/5),F (5/5),F
73,P,F (5/5),F (5/5),F
74,P,F (5/5),F (5/5),F
75,P,F (5/5),F (5/5),F
76,P,F (5/5),F (5/5),F
77,P,F (5/5),F (5/5),F
78,P,F (5/5),F (5/5),F
79,P,F (5/5),F (5/5),F
80,P,F (5/5),F (5/5),F
81,P,F (5/5),F (5/5),F
82,P,F (5/5),F (5/5),F
83,P,F (5/5),F (5/5),F
84,P,F (5/5),F (5/5),F
85,P,F (5/5),F (5/5),F
86,P,F (5/5),F (5/5),F
87,P,F (5/5),F (5/5),F
88,P,F (5/5),F (5/5),F
89,P,F (5/5),F (5/5),F
90,P,F (5/5),F (5/5),F
91,P,F (5/5),F (5/5),F
92,P,F (5/5),F (5/5),F
93,P,F (5/5),F (5/5),F
94,P,F (5/5),F (5/5),F
95,P,F (5/5),F (5/5),F
96,P,F (5/5),F (5/5),F
97,P,F (5/5),F (5/5),F
98,P,F (5/5),F (5/5),F
99,P,F (5/5),F (5/5),F
100,P,F (5/5),F (5/5),F
101,P,F (5/5),F (5/5),F
102,P,F (5/5),F (5/5),F
103,P,F (5/5),F (5/5),F
104,P,F (5/5),F (5/5),F
Total failures:,5,95,103,103
