Test File Name,No saturation (same subgroup),Round Robin Saturation,Chunking Saturation,All Passed
0,P,F,F,F
1,P,F,F,F
2,P,F,F,F
3,P,F,F,F
4,P,F,F,F
5,P,F,F,F
6,P,F,F,F
7,P,F,F,F
8,P,F,F,F
9,P,F,F,F
10,P,F,F,F
11,P,F,F,F
12,P,F,F,F
13,P,F,F,F
14,P,F,F,F
15,P,F,F,F
16,P,F,F,F
17,P,F,F,F
18,F,F,F,F
19,P,F,F,F
20,F,F,F,F
21,P,F,F,F
22,P,F,F,F
23,P,F,F,F
24,P,F,F,F
25,P,F,F,F
26,P,F,F,F
27,P,F,F,F
28,P,F,F,F
29,F,F,F,F
30,P,F,F,F
31,P,F,F,F
32,P,F,F,F
33,P,F,F,F
34,P,F,F,F
35,F,F,F,F
36,F,F,F,F
37,P,F,F,F
38,P,F,F,F
39,P,F,F,F
40,P,P,P,P
41,P,F,F,F
42,P,F,F,F
43,P,P,P,P
44,P,F,F,F
45,P,F,F,F
46,P,P,F,F
47,P,F,F,F
48,P,P,F,F
49,P,F,F,F
50,P,F,F,F
51,P,F,F,F
52,P,P,F,F
53,P,F,F,F
54,P,F,F,F
55,P,P,F,F
56,P,P,F,F
57,P,F,F,F
58,P,F,F,F
59,P,F,F,F
60,P,F,F,F
61,P,P,F,F
62,P,F,F,F
63,P,F,F,F
64,P,P,F,F
65,P,F,F,F
66,P,P,F,F
67,P,F,F,F
68,P,F,F,F
69,P,F,F,F
70,P,F,F,F
71,P,F,F,F
72,P,F,F,F
73,P,F,F,F
74,P,F,F,F
75,P,F,F,F
76,P,F,F,F
77,P,F,F,F
78,P,F,F,F
79,P,F,F,F
80,P,F,F,F
81,P,F,F,F
82,P,F,F,F
83,P,F,F,F
84,P,F,F,F
85,P,F,F,F
86,P,F,F,F
87,P,F,F,F
88,P,F,F,F
89,P,F,F,F
90,P,F,F,F
91,P,F,F,F
92,P,F,F,F
93,P,F,F,F
94,P,F,F,F
95,P,F,F,F
96,P,F,F,F
97,P,F,F,F
98,P,F,F,F
99,P,F,F,F
100,P,F,F,F
101,P,F,F,F
102,P,F,F,F
103,P,F,F,F
104,P,F,F,F
Total failures:,5,95,103,103
